,2022,2023,2024
107,TGT UN Equity,HBI UN Equity,IP UN Equity
108,WBS UN Equity,IP UN Equity,MOH UN Equity
109,HBI UN Equity,MOH UN Equity,WBS UN Equity
110,IP UN Equity,WBS UN Equity,APLS UW Equity
111,MOH UN Equity,CBOE UF Equity,RCM UW Equity
112,9990253D UN Equity,CB UN Equity,CBOE UF Equity
113,CB UN Equity,QDEL UW Equity,CB UN Equity
114,CBOE UF Equity,VZ UN Equity,QDEL UW Equity
115,MCFE UW Equity,MKL UN Equity,VZ UN Equity
116,VZ UN Equity,HXL UN Equity,MKL UN Equity
117,MKL UN Equity,KEX UN Equity,HXL UN Equity
118,HXL UN Equity,ESAB UN Equity,KEX UN Equity
119,9990235D UW Equity,HWM UN Equity,ESAB UN Equity
120,KEX UN Equity,FE UN Equity,HWM UN Equity
121,NFE UW Equity,AIRC UN Equity,FE UN Equity
122,HWM UN Equity,CMG UN Equity,AIRC UN Equity
123,FE UN Equity,ERIE UW Equity,CMG UN Equity
124,AIRC UN Equity,LECO UW Equity,LECO UW Equity
125,CMG UN Equity,NFE UW Equity,NFE UW Equity
126,ERIE UW Equity,AAPL UW Equity,ORI UN Equity
127,LECO UW Equity,MRNA UW Equity,AAPL UW Equity
128,ORI UN Equity,ORI UN Equity,MRNA UW Equity
129,AAPL UW Equity,ST UN Equity,TSCO UW Equity
130,MRNA UW Equity,WSM UN Equity,ST UN Equity
131,TSCO UW Equity,ZBH UN Equity,WSM UN Equity
132,ST UN Equity,CINF UW Equity,ZBH UN Equity
133,WSM UN Equity,SO UN Equity,CINF UW Equity
134,ZBH UN Equity,AM UN Equity,SO UN Equity
135,CINF UW Equity,LVS UN Equity,AM UN Equity
136,SO UN Equity,SNV UN Equity,LVS UN Equity
137,AM UN Equity,AIZ UN Equity,SNV UN Equity
138,LVS UN Equity,JLL UN Equity,AIZ UN Equity
139,SNV UN Equity,EVR UN Equity,JLL UN Equity
140,AIZ UN Equity,RNG UN Equity,EVR UN Equity
141,JLL UN Equity,VYX UN Equity,RNG UN Equity
