,2022,2023,2024
470,CERT UW Equity,TXN UW Equity,PNW UN Equity
471,COO UN Equity,FCN UN Equity,UBER UN Equity
472,STE UN Equity,WRK UN Equity,WRK UN Equity
473,KR UN Equity,FITB UW Equity,AJG UN Equity
474,EQR UN Equity,PNW UN Equity,PSTG UN Equity
475,VAC UN Equity,UBER UN Equity,CMA UN Equity
476,TXN UW Equity,AJG UN Equity,RPRX UW Equity
477,FCN UN Equity,PSTG UN Equity,SWK UN Equity
478,WRK UN Equity,CMA UN Equity,OKTA UW Equity
479,FITB UW Equity,RPRX UW Equity,NEE UN Equity
480,PNW UN Equity,SWK UN Equity,K UN Equity
481,UBER UN Equity,OKTA UW Equity,VRTX UW Equity
482,AJG UN Equity,NEE UN Equity,PLNT UN Equity
483,PSTG UN Equity,K UN Equity,WEC UN Equity
484,CMA UN Equity,VRTX UW Equity,MAT UW Equity
485,RPRX UW Equity,PLNT UN Equity,ATR UN Equity
486,SWK UN Equity,WEC UN Equity,IDXX UW Equity
487,OKTA UW Equity,MAT UW Equity,CAG UN Equity
488,NEE UN Equity,ATR UN Equity,SPB UN Equity
489,K UN Equity,IDXX UW Equity,RYAN UN Equity
490,SC UN Equity,CAG UN Equity,WTFC UW Equity
491,VRTX UW Equity,SPB UN Equity,IVZ UN Equity
492,PLNT UN Equity,RYAN UN Equity,ENTG UW Equity
493,WEC UN Equity,WTFC UW Equity,GLOB UN Equity
494,GOCO UW Equity,IVZ UN Equity,MKC UN Equity
495,ATR UN Equity,ENTG UW Equity,RGA UN Equity
496,MAT UW Equity,GLOB UN Equity,LEN UN Equity
497,IDXX UW Equity,MKC UN Equity,GDDY UN Equity
498,CAG UN Equity,RGA UN Equity,LOW UN Equity
499,SPB UN Equity,LEN UN Equity,ULTA UW Equity
500,WTFC UW Equity,GDDY UN Equity,ALB UN Equity
501,IVZ UN Equity,LOW UN Equity,M UN Equity
502,ENTG UW Equity,ULTA UW Equity,ARES UN Equity
503,GLOB UN Equity,ALB UN Equity,J UN Equity
504,MKC UN Equity,M UN Equity,MKTX UW Equity
505,RGA UN Equity,ARES UN Equity,ANET UN Equity
506,LEN UN Equity,J UN Equity,STWD UN Equity
507,GDDY UN Equity,MKTX UW Equity,XPO UN Equity
508,LOW UN Equity,ANET UN Equity,DVA UN Equity
509,ULTA UW Equity,COHR UW Equity,HSIC UW Equity
510,ALB UN Equity,STWD UN Equity,WTW UW Equity
511,ARES UN Equity,XPO UN Equity,CUZ UN Equity
512,XPO UN Equity,DVA UN Equity,ESS UN Equity
513,MKTX UW Equity,HSIC UW Equity,HR UN Equity
514,ANET UN Equity,WTW UW Equity,EQT UN Equity
515,STWD UN Equity,RXO UN Equity,ROKU UW Equity
516,MCY UN Equity,EVVAQ UN Equity,UNH UN Equity
517,ZNGA UW Equity,CUZ UN Equity,BRKR UW Equity
518,DVA UN Equity,ESS UN Equity,ENOV UN Equity
519,HSIC UW Equity,HR UN Equity,IFF UN Equity
520,WTW UW Equity,EQT UN Equity,APD UN Equity
521,CUZ UN Equity,ROKU UW Equity,KKR UN Equity
522,ESS UN Equity,UNH UN Equity,GLW UN Equity
523,HR UN Equity,BRKR UW Equity,ED UN Equity
524,EQT UN Equity,ENOV UN Equity,EPR UN Equity
525,ROKU UW Equity,IFF UN Equity,BC UN Equity
526,UNH UN Equity,APD UN Equity,FICO UN Equity
527,BRKR UW Equity,KKR UN Equity,PAYX UW Equity
528,ENOV UN Equity,UMPQ UW Equity,NEU UN Equity
529,IFF UN Equity,GLW UN Equity,UHS UN Equity
530,APD UN Equity,ED UN Equity,BIIB UW Equity
531,KKR UN Equity,NVAX UW Equity,INGR UN Equity
532,UMPQ UW Equity,EPR UN Equity,KEYS UN Equity
533,GLW UN Equity,BC UN Equity,FCX UN Equity
534,TSPH UW Equity,FICO UN Equity,LSCC UW Equity
535,ED UN Equity,PAYX UW Equity,FTRE UW Equity
536,NVAX UW Equity,NEU UN Equity,MRTX US Equity
537,EPR UN Equity,UHS UN Equity,WDAY UW Equity
538,BC UN Equity,BIIB UW Equity,PINC UW Equity
539,VRMMQ UW Equity,OSH UN Equity,MTG UN Equity
540,FICO UN Equity,INGR UN Equity,DOV UN Equity
541,PAYX UW Equity,KEYS UN Equity,DOC UN Equity
542,NEU UN Equity,FCX UN Equity,GTES UN Equity
543,UHS UN Equity,HZNP UW Equity,BIRK UN Equity
544,BIIB UW Equity,LSCC UW Equity,X UN Equity
545,OSH UN Equity,WDAY UW Equity,DVN UN Equity
546,INGR UN Equity,PINC UW Equity,MMC UN Equity
547,KEYS UN Equity,MTG UN Equity,SBUX UW Equity
548,BFH UN Equity,ATUS UN Equity,SLB UN Equity
549,FCX UN Equity,DOV UN Equity,FSLR UW Equity
550,HZNP UW Equity,LESL UW Equity,SNPS UW Equity
551,WDAY UW Equity,DOC UN Equity,USFD UN Equity
552,PINC UW Equity,GTES UN Equity,EW UN Equity
553,MTG UN Equity,X UN Equity,MDLZ UW Equity
554,ATUS UN Equity,DVN UN Equity,CHPT UN Equity
555,DOV UN Equity,MMC UN Equity,MAN UN Equity
556,LESL UW Equity,SBUX UW Equity,DRVN UW Equity
557,DOC UN Equity,SLB UN Equity,GXO UN Equity
558,FL UN Equity,FSLR UW Equity,PK UN Equity
559,GTES UN Equity,SNPS UW Equity,FHN UN Equity
560,SLVM UN Equity,USFD UN Equity,DLB UN Equity
561,X UN Equity,EW UN Equity,EMR UN Equity
562,DVN UN Equity,MDLZ UW Equity,QS UN Equity
563,CLR UN Equity,CHPT UN Equity,JHG UN Equity
564,MMC UN Equity,MAN UN Equity,HOG UN Equity
565,SBUX UW Equity,DRVN UW Equity,TOST UN Equity
566,SLB UN Equity,GXO UN Equity,GOOG UW Equity
567,FSLR UW Equity,PK UN Equity,PYCR UW Equity
568,SNPS UW Equity,FHN UN Equity,SPLK UW Equity
569,USFD UN Equity,DLB UN Equity,ESI UN Equity
570,EW UN Equity,EMR UN Equity,VRSN UW Equity
571,MDLZ UW Equity,QS UN Equity,VTRS UW Equity
572,CHPT UN Equity,JHG UN Equity,ARMK UN Equity
573,MAN UN Equity,HOG UN Equity,WAL UN Equity
574,DRVN UW Equity,TOST UN Equity,DRI UN Equity
575,GXO UN Equity,GOOG UW Equity,HES UN Equity
576,PK UN Equity,PYCR UW Equity,A UN Equity
577,FHN UN Equity,SPLK UW Equity,UNP UN Equity
578,DLB UN Equity,ESI UN Equity,INFA UN Equity
579,EMR UN Equity,VRSN UW Equity,ZG UW Equity
580,QS UN Equity,VTRS UW Equity,WOLF UN Equity
581,JHG UN Equity,ARMK UN Equity,KRTX UQ Equity
582,HOG UN Equity,WAL UN Equity,BX UN Equity
583,GOOG UW Equity,DRI UN Equity,DNA UN Equity
584,PYCR UW Equity,HES UN Equity,TRV UN Equity
585,SPLK UW Equity,A UN Equity,PII UN Equity
586,ESI UN Equity,UNP UN Equity,UTHR UW Equity
587,VRSN UW Equity,INFA UN Equity,CLVT UN Equity
588,VTRS UW Equity,ZG UW Equity,9991429D UN Equity
589,ARMK UN Equity,WOLF UN Equity,BWXT UN Equity
590,WAL UN Equity,BX UN Equity,TECH UW Equity
591,DRI UN Equity,DNA UN Equity,FDX UN Equity
592,HES UN Equity,CPA UN Equity,ESTC UN Equity
593,A UN Equity,TRV UN Equity,TAP UN Equity
594,UNP UN Equity,PII UN Equity,FAST UW Equity
595,INFA UN Equity,UTHR UW Equity,TTC UN Equity
596,CHNG UW Equity,CLVT UN Equity,TDG UN Equity
597,WOLF UN Equity,DH UW Equity,KO UN Equity
598,ZG UW Equity,9991429D UN Equity,USB UN Equity
599,BX UN Equity,BWXT UN Equity,CARR UN Equity
600,CPA UN Equity,TECH UW Equity,ROIV UW Equity
601,TRV UN Equity,FDX UN Equity,MOS UN Equity
602,PII UN Equity,ESTC UN Equity,VSAT UW Equity
603,UTHR UW Equity,TAP UN Equity,9982165D UN Equity
604,CLVT UN Equity,FAST UW Equity,ITT UN Equity
605,DH UW Equity,TTC UN Equity,OGN UN Equity
606,9991429D UN Equity,TDG UN Equity,NCLH UN Equity
607,BWXT UN Equity,KO UN Equity,BERY UN Equity
608,TECH UW Equity,USB UN Equity,GFS UW Equity
609,FDX UN Equity,CARR UN Equity,TER UW Equity
610,ESTC UN Equity,MOS UN Equity,PXD UN Equity
611,TAP UN Equity,VSAT UW Equity,LPLA UW Equity
612,FAST UW Equity,ITT UN Equity,HST UW Equity
613,TTC UN Equity,OGN UN Equity,BAH UN Equity
614,TDG UN Equity,NCLH UN Equity,AOS UN Equity
615,KO UN Equity,BERY UN Equity,CXT UN Equity
616,USB UN Equity,GFS UW Equity,NYT UN Equity
617,CARR UN Equity,TER UW Equity,CTVA UN Equity
618,MOS UN Equity,FRCB UN Equity,THC UN Equity
619,VSAT UW Equity,PXD UN Equity,BPOP UW Equity
620,ITT UN Equity,LPLA UW Equity,SNDR UN Equity
621,OGN UN Equity,HST UW Equity,IBM UN Equity
622,NCLH UN Equity,BAH UN Equity,ETN UN Equity
623,BERY UN Equity,AOS UN Equity,GGG UN Equity
624,GFS UW Equity,CXT UN Equity,INCY UW Equity
625,TER UW Equity,NYT UN Equity,SLM UW Equity
626,FRCB UN Equity,CTVA UN Equity,TXG UW Equity
627,AI UN Equity,THC UN Equity,RMD UN Equity
628,PXD UN Equity,BPOP UW Equity,WBA UW Equity
629,LPLA UW Equity,SNDR UN Equity,PPC UW Equity
630,HST UW Equity,IBM UN Equity,DT UN Equity
631,BAH UN Equity,ETN UN Equity,GLPI UW Equity
632,AOS UN Equity,GGG UN Equity,KHC UW Equity
633,NYT UN Equity,INCY UW Equity,VLO UN Equity
634,CTVA UN Equity,SLM UW Equity,NRG UN Equity
635,9992039D UW Equity,TXG UW Equity,BRX UN Equity
636,BPOP UW Equity,RMD UN Equity,CCL UN Equity
637,SNDR UN Equity,WBA UW Equity,W UN Equity
638,IBM UN Equity,PPC UW Equity,CNM UN Equity
639,ETN UN Equity,DT UN Equity,INSP UN Equity
640,GGG UN Equity,GLPI UW Equity,BRO UN Equity
641,INCY UW Equity,SBNY UW Equity,LKQ UW Equity
642,SLM UW Equity,KHC UW Equity,PINS UN Equity
643,TXG UW Equity,VLO UN Equity,NSA UN Equity
644,RMD UN Equity,NRG UN Equity,CME UW Equity
645,WBA UW Equity,BRX UN Equity,BSX UN Equity
646,PPC UW Equity,CCL UN Equity,EVRG UW Equity
647,DT UN Equity,W UN Equity,LBRDA UW Equity
648,GLPI UW Equity,CNM UN Equity,SPOT UN Equity
649,SBNY UW Equity,STOR UN Equity,UHAL/B UN Equity
650,KHC UW Equity,BRO UN Equity,COF UN Equity
651,FLNC UW Equity,LKQ UW Equity,MDT UN Equity
652,VLO UN Equity,PINS UN Equity,XRAY UW Equity
653,NRG UN Equity,NSA UN Equity,GEHC UW Equity
654,BRX UN Equity,CME UW Equity,BK UN Equity
655,CCL UN Equity,BSX UN Equity,AZPN UW Equity
656,W UN Equity,EVRG UW Equity,EA UW Equity
657,CNM UN Equity,LBRDA UW Equity,WCC UN Equity
658,STOR UN Equity,SPOT UN Equity,CUBE UN Equity
659,BRO UN Equity,UHAL/B UN Equity,CR UN Equity
660,LKQ UW Equity,COF UN Equity,MSA UN Equity
661,PINS UN Equity,MDT UN Equity,SWN UN Equity
662,SABR UW Equity,XRAY UW Equity,CWEN/A UN Equity
663,CME UW Equity,BK UN Equity,BAX UN Equity
664,BSX UN Equity,AZPN UW Equity,FIS UN Equity
665,SPOT UN Equity,EA UW Equity,MAR UW Equity
666,LBRDA UW Equity,WCC UN Equity,CBRE UN Equity
667,PSFE UN Equity,CUBE UN Equity,NET UN Equity
668,COF UN Equity,MSA UN Equity,CEG UW Equity
669,MDT UN Equity,SWN UN Equity,SAIC UN Equity
670,XRAY UW Equity,GH UW Equity,FR UN Equity
671,BK UN Equity,BAX UN Equity,EXEL UW Equity
672,EA UW Equity,FIS UN Equity,MRVL UW Equity
673,CUBE UN Equity,MAR UW Equity,BMRN UW Equity
674,MSA UN Equity,CBRE UN Equity,DUK UN Equity
675,GH UW Equity,NET UN Equity,DV UN Equity
676,BAX UN Equity,CEG UW Equity,MSCI UN Equity
677,FIS UN Equity,SAIC UN Equity,DD UN Equity
678,MAR UW Equity,FR UN Equity,FRT UN Equity
679,CBRE UN Equity,EXEL UW Equity,AIG UN Equity
680,NET UN Equity,MRVL UW Equity,FTI UN Equity
681,SAIC UN Equity,BMRN UW Equity,ICE UN Equity
682,FR UN Equity,DUK UN Equity,LITE UW Equity
683,EXEL UW Equity,DV UN Equity,INTC UW Equity
684,MRVL UW Equity,MSCI UN Equity,SRPT UW Equity
685,BMRN UW Equity,DD UN Equity,QGENN S2 Equity
686,DUK UN Equity,FRT UN Equity,TTWO UW Equity
687,DV UN Equity,AIG UN Equity,CART UW Equity
688,MSCI UN Equity,ICE UN Equity,HRB UN Equity
689,DD UN Equity,LITE UW Equity,PKG UN Equity
690,BYND UW Equity,INTC UW Equity,AMP UN Equity
691,FRT UN Equity,SRPT UW Equity,PVH UN Equity
692,AIG UN Equity,TTWO UW Equity,DE UN Equity
693,ICE UN Equity,HRB UN Equity,HCP UW Equity
694,LITE UW Equity,PKG UN Equity,RUN UW Equity
695,INTC UW Equity,AMP UN Equity,G UN Equity
696,SRPT UW Equity,PVH UN Equity,RH UN Equity
697,TTWO UW Equity,DE UN Equity,VOYA UN Equity
698,ACC UN Equity,RUN UW Equity,ACN UN Equity
699,HRB UN Equity,G UN Equity,INTU UW Equity
700,PKG UN Equity,RH UN Equity,TKO UN Equity
701,AMP UN Equity,COUP UW Equity,CRL UN Equity
702,PVH UN Equity,ACN UN Equity,FNF UN Equity
703,DE UN Equity,VOYA UN Equity,R UN Equity
704,RUN UW Equity,INTU UW Equity,CW UN Equity
705,DRE UN Equity,TKO UN Equity,WEX UN Equity
706,G UN Equity,CRL UN Equity,Z UW Equity
707,CDK UW Equity,FNF UN Equity,WRB UN Equity
708,RH UN Equity,R UN Equity,LAMR UW Equity
709,COUP UW Equity,CW UN Equity,MSGS UN Equity
710,ACN UN Equity,WEX UN Equity,PODD UW Equity
711,VOYA UN Equity,Z UW Equity,PG UN Equity
712,INTU UW Equity,WRB UN Equity,RGLD UW Equity
713,TKO UN Equity,LAMR UW Equity,UAA UN Equity
714,CRL UN Equity,MSGS UN Equity,GE UN Equity
715,FNF UN Equity,PODD UW Equity,CF UN Equity
716,R UN Equity,PG UN Equity,MPC UN Equity
717,CW UN Equity,RGLD UW Equity,RF UN Equity
718,WEX UN Equity,UAA UN Equity,LLYVK UW Equity
719,Z UW Equity,GE UN Equity,SMAR UN Equity
720,WRB UN Equity,CF UN Equity,STT UN Equity
721,LAMR UW Equity,MPC UN Equity,SAM UN Equity
722,MSGS UN Equity,RF UN Equity,BLD UN Equity
723,PLAN UN Equity,SMAR UN Equity,CROX UW Equity
724,PG UN Equity,STT UN Equity,KMPR UN Equity
725,PODD UW Equity,MRTX UW Equity,CASY UW Equity
726,RGLD UW Equity,SAM UN Equity,EQIX UW Equity
727,UAA UN Equity,BLD UN Equity,JEF UN Equity
728,GE UN Equity,KMPR UN Equity,WING UW Equity
729,CF UN Equity,FI UW Equity,PANW UW Equity
730,MPC UN Equity,CASY UW Equity,THO UN Equity
731,RF UN Equity,EQIX UW Equity,BWA UN Equity
732,SMAR UN Equity,JEF UN Equity,CIEN UN Equity
733,STT UN Equity,PANW UW Equity,TMUS UW Equity
734,MRTX UW Equity,THO UN Equity,ADI UW Equity
735,SKLZ UN Equity,BWA UN Equity,CTSH UW Equity
736,SAM UN Equity,CIEN UN Equity,NWL UW Equity
737,BLD UN Equity,TMUS UW Equity,VMC UN Equity
738,UHAL UW Equity,ADI UW Equity,CFR UN Equity
739,KMPR UN Equity,CTSH UW Equity,WTM UN Equity
740,2150994D UW Equity,NWL UW Equity,XYL UN Equity
741,FI UW Equity,VMC UN Equity,AZTA UW Equity
742,XRX UW Equity,DELL UN Equity,APA UW Equity
743,CASY UW Equity,SLG UN Equity,ABNB UW Equity
744,EQIX UW Equity,CFR UN Equity,NFLX UW Equity
745,JEF UN Equity,WTM UN Equity,AWK UN Equity
746,PANW UW Equity,XYL UN Equity,PEG UN Equity
747,THO UN Equity,AZTA UW Equity,AFL UN Equity
748,BWA UN Equity,APA UW Equity,GL UN Equity
749,CIEN UN Equity,ABNB UW Equity,MPWR UW Equity
750,TMUS UW Equity,NFLX UW Equity,SBAC UW Equity
751,ADI UW Equity,AWK UN Equity,UDR UN Equity
752,CTSH UW Equity,PEG UN Equity,VEEV UN Equity
753,NWL UW Equity,AFL UN Equity,LULU UW Equity
754,ABMD UW Equity,GL UN Equity,NOW UN Equity
755,DELL UN Equity,MPWR UW Equity,VNO UN Equity
756,SLG UN Equity,SBAC UW Equity,LHX UN Equity
757,CFR UN Equity,UDR UN Equity,CVS UN Equity
758,VMC UN Equity,VEEV UN Equity,PFE UN Equity
759,WTM UN Equity,LULU UW Equity,SPG UN Equity
760,XYL UN Equity,NOW UN Equity,FRPT UQ Equity
761,AZTA UW Equity,VNO UN Equity,SEIC UW Equity
762,APA UW Equity,LHX UN Equity,SRCL UW Equity
763,SAGE UQ Equity,CVS UN Equity,F UN Equity
764,NFLX UW Equity,PFE UN Equity,HCA UN Equity
765,AWK UN Equity,SPG UN Equity,TW UW Equity
766,PEG UN Equity,FRPT UQ Equity,KLG UN Equity
767,AFL UN Equity,SEIC UW Equity,MTZ UN Equity
768,GL UN Equity,SRCL UW Equity,ADC UN Equity
769,MPWR UW Equity,F UN Equity,PAYC UN Equity
770,SBAC UW Equity,HCA UN Equity,XOM UN Equity
771,UDR UN Equity,TW UW Equity,OLN UN Equity
772,VEEV UN Equity,MTZ UN Equity,SHW UN Equity
773,LULU UW Equity,WIX UW Equity,BIO UN Equity
774,NOW UN Equity,PAYC UN Equity,WWD UW Equity
775,VNO UN Equity,XOM UN Equity,BURL UN Equity
776,LHX UN Equity,OLN UN Equity,IT UN Equity
777,CVS UN Equity,SHW UN Equity,MASI UW Equity
778,PFE UN Equity,BIO UN Equity,PB UN Equity
779,SHLS UQ Equity,WWD UW Equity,PEGA UW Equity
780,HFC UN Equity,BURL UN Equity,AMCR UN Equity
781,FRPT UQ Equity,IT UN Equity,ECL UN Equity
782,SEIC UW Equity,MASI UW Equity,SCI UN Equity
783,SPG UN Equity,PB UN Equity,CLX UN Equity
784,F UN Equity,PEGA UW Equity,APP UW Equity
785,SRCL UW Equity,AMCR UN Equity,GO UW Equity
786,HCA UN Equity,ECL UN Equity,TPR UN Equity
787,TW UW Equity,SCI UN Equity,NVR UN Equity
788,MTZ UN Equity,ROP UN Equity,DTM UN Equity
789,WIX UW Equity,CLX UN Equity,CFG UN Equity
790,PAYC UN Equity,APP UW Equity,TNL UN Equity
791,XOM UN Equity,GO UW Equity,PSX UN Equity
792,OLN UN Equity,TPR UN Equity,NATL UN Equity
793,SHW UN Equity,NVR UN Equity,JBL UN Equity
794,BIO UN Equity,DTM UN Equity,SRE UN Equity
795,WWD UW Equity,CFG UN Equity,FMC UN Equity
796,BURL UN Equity,VMW UN Equity,HUN UN Equity
797,IT UN Equity,TNL UN Equity,LW UN Equity
798,LYLTQ UW Equity,HPP UN Equity,ELAN UN Equity
799,MASI UW Equity,PSX UN Equity,PFGC UN Equity
800,PB UN Equity,JBL UN Equity,PH UN Equity
801,PEGA UW Equity,SRE UN Equity,TDY UN Equity
802,AMCR UN Equity,FMC UN Equity,WSC UR Equity
803,ECL UN Equity,HUN UN Equity,NTRA UW Equity
804,SCI UN Equity,LW UN Equity,SSRM UW Equity
805,ROP UN Equity,ELAN UN Equity,AMAT UW Equity
806,CLX UN Equity,PFGC UN Equity,AMZN UW Equity
807,GO UW Equity,PH UN Equity,EXAS UR Equity
808,TPR UN Equity,TDY UN Equity,BOKF UW Equity
809,NVR UN Equity,WSC UR Equity,YETI UN Equity
810,DTM UN Equity,NTRA UW Equity,EXPE UW Equity
811,CFG UN Equity,SSRM UW Equity,AMH UN Equity
812,VMW UN Equity,AMAT UW Equity,HSY UN Equity
813,TNL UN Equity,AMZN UW Equity,ZM UW Equity
814,HPP UN Equity,EXAS UR Equity,LUV UN Equity
815,PSX UN Equity,BOKF UW Equity,NDAQ UW Equity
816,JBL UN Equity,YETI UN Equity,FTV UN Equity
817,SRE UN Equity,EXPE UW Equity,IR UN Equity
818,FMC UN Equity,AMH UN Equity,VLTO UN Equity
819,HUN UN Equity,HSY UN Equity,GNRC UN Equity
820,LW UN Equity,ZM UW Equity,CCK UN Equity
821,ELAN UN Equity,LUV UN Equity,PLTK UW Equity
822,PH UN Equity,NDAQ UW Equity,BHF UW Equity
823,TDY UN Equity,DISH UW Equity,NDSN UW Equity
824,NTRA UW Equity,FTV UN Equity,AGNC UW Equity
825,AMAT UW Equity,IR UN Equity,MPW UN Equity
826,AMZN UW Equity,GNRC UN Equity,FLG UN Equity
827,EXAS UR Equity,CCK UN Equity,OMF UN Equity
828,BOKF UW Equity,EHAB UN Equity,FI UN Equity
829,CONE UW Equity,PLTK UW Equity,MAS UN Equity
830,SLGN UW Equity,BHF UW Equity,AN UN Equity
831,YETI UN Equity,NDSN UW Equity,SGI UN Equity
832,EXPE UW Equity,AGNC UW Equity,RTX UN Equity
833,AMH UN Equity,MPW UN Equity,PPG UN Equity
834,HSY UN Equity,FLG UN Equity,SCCO UN Equity
835,ZM UW Equity,OMF UN Equity,ZS UW Equity
836,LUV UN Equity,MAS UN Equity,CSL UN Equity
837,NDAQ UW Equity,AN UN Equity,EME UN Equity
838,DISH UW Equity,SGI UN Equity,ROK UN Equity
839,FTV UN Equity,RTX UN Equity,ETR UN Equity
840,ONL UN Equity,PPG UN Equity,AGO UN Equity
841,IR UN Equity,SCCO UN Equity,AVY UN Equity
842,GNRC UN Equity,ZS UW Equity,BFAM UN Equity
843,CCK UN Equity,CSL UN Equity,CHRW UW Equity
844,PLTK UW Equity,ROK UN Equity,CPAY UN Equity
845,BHF UW Equity,ETR UN Equity,RCL UN Equity
846,NDSN UW Equity,AGO UN Equity,AGR UN Equity
847,AGNC UW Equity,AVY UN Equity,IRDM UW Equity
848,DSEY UW Equity,BFAM UN Equity,PLUG UR Equity
849,FLG UN Equity,CHRW UW Equity,MKSI UW Equity
850,MPW UN Equity,CPAY UN Equity,CI UN Equity
851,OMF UN Equity,RCL UN Equity,SWAV UW Equity
852,MAS UN Equity,AGR UN Equity,SITE UN Equity
853,AN UN Equity,UNVR UN Equity,SOFI UW Equity
854,SGI UN Equity,PLUG UR Equity,VVV UN Equity
855,RTX UN Equity,MKSI UW Equity,GPN UN Equity
856,PPG UN Equity,CI UN Equity,IRM UN Equity
857,SCCO UN Equity,SITE UN Equity,AEE UN Equity
858,ZS UW Equity,SOFI UW Equity,HLI UN Equity
859,CSL UN Equity,VVV UN Equity,CAT UN Equity
860,ROK UN Equity,GPN UN Equity,TDOC UN Equity
861,ETR UN Equity,IRM UN Equity,TSLA UW Equity
862,AGO UN Equity,AEE UN Equity,PHM UN Equity
863,AVY UN Equity,CAT UN Equity,ICUI UW Equity
864,BFAM UN Equity,TDOC UN Equity,OWL UN Equity
865,CHRW UW Equity,TSLA UW Equity,APH UN Equity
866,CPAY UN Equity,PHM UN Equity,PAG UN Equity
867,RCL UN Equity,ICUI UW Equity,SJM UN Equity
868,AGR UN Equity,OWL UN Equity,MS UN Equity
869,UNVR UN Equity,APH UN Equity,ALL UN Equity
870,PLUG UR Equity,PAG UN Equity,DFS UN Equity
871,VMEO UW Equity,SJM UN Equity,AXS UN Equity
872,MKSI UW Equity,MS UN Equity,HD UN Equity
873,CI UN Equity,ALL UN Equity,SPGI UN Equity
874,SITE UN Equity,DFS UN Equity,HIG UN Equity
875,TMX UN Equity,AXS UN Equity,ACM UN Equity
876,VVV UN Equity,HD UN Equity,HPQ UN Equity
877,GPN UN Equity,SPGI UN Equity,LSXMA UW Equity
878,IRM UN Equity,OPEN UW Equity,RVTY UN Equity
879,AEE UN Equity,HIG UN Equity,T UN Equity
880,CAT UN Equity,ACM UN Equity,TXT UN Equity
881,TDOC UN Equity,HPQ UN Equity,MSI UN Equity
882,TSLA UW Equity,RVTY UN Equity,AMD UW Equity
883,PHM UN Equity,T UN Equity,SWKS UW Equity
884,ICUI UW Equity,UPST UW Equity,CWEN UN Equity
885,APH UN Equity,TXT UN Equity,GILD UW Equity
886,PAG UN Equity,MSI UN Equity,EXR UN Equity
887,SJM UN Equity,AMD UW Equity,ARW UN Equity
888,MS UN Equity,SWKS UW Equity,VNT UN Equity
889,ALL UN Equity,GILD UW Equity,ALLY UN Equity
890,DFS UN Equity,EXR UN Equity,COO UW Equity
891,AXS UN Equity,ARW UN Equity,GM UN Equity
892,HD UN Equity,VNT UN Equity,WAT UN Equity
893,SPGI UN Equity,ALLY UN Equity,SRC US Equity
894,OPEN UW Equity,GM UN Equity,BAC UN Equity
895,HIG UN Equity,WAT UN Equity,WFC UN Equity
896,ACM UN Equity,MBC UN Equity,CAVA UN Equity
897,HPQ UN Equity,WFC UN Equity,CRI UN Equity
898,RVTY UN Equity,BAC UN Equity,GEN UW Equity
899,T UN Equity,CRI UN Equity,MIDD UW Equity
900,UPST UW Equity,MIDD UW Equity,GD UN Equity
901,TXT UN Equity,GEN UW Equity,NI UN Equity
902,MSI UN Equity,NKE UN Equity,NKE UN Equity
903,AMD UW Equity,GD UN Equity,XYZ UN Equity
904,SWKS UW Equity,NI UN Equity,AAL UW Equity
905,GILD UW Equity,SRC UN Equity,CAH UN Equity
906,EXR UN Equity,XYZ UN Equity,CCCS UW Equity
907,ARW UN Equity,AAL UW Equity,LSTR UW Equity
908,VNT UN Equity,CAH UN Equity,HPE UN Equity
909,ALLY UN Equity,CCCS UW Equity,NOV UN Equity
910,GM UN Equity,LSTR UW Equity,PENN UW Equity
911,WAT UN Equity,HPE UN Equity,HEI/A UN Equity
912,2499073D UN Equity,NOV UN Equity,BF/A UN Equity
913,WFC UN Equity,PENN UW Equity,WU UN Equity
914,BAC UN Equity,HEI/A UN Equity,CDW UW Equity
915,CRI UN Equity,BF/A UN Equity,LOPE UW Equity
916,MIDD UW Equity,WU UN Equity,PTC UW Equity
917,GEN UW Equity,CDW UW Equity,WEN UW Equity
918,NKE UN Equity,LOPE UW Equity,UHAL UN Equity
919,GD UN Equity,PTC UW Equity,HOOD UW Equity
920,NI UN Equity,WEN UW Equity,NFG UN Equity
921,SRC UN Equity,UHAL UN Equity,OGE UN Equity
922,XYZ UN Equity,HOOD UW Equity,PHIN UN Equity
923,AAL UW Equity,NFG UN Equity,PRU UN Equity
924,CAH UN Equity,2297267D UW Equity,BA UN Equity
925,LSTR UW Equity,OGE UN Equity,CPRT UW Equity
926,NOV UN Equity,PRU UN Equity,MRCY UW Equity
927,HPE UN Equity,BA UN Equity,ALNY UW Equity
928,PENN UW Equity,CPRT UW Equity,NSC UN Equity
929,HEI/A UN Equity,MRCY UW Equity,TFX UN Equity
930,BF/A UN Equity,ALNY UW Equity,9903115D UN Equity
931,NXPI UW Equity,NSC UN Equity,PNR UN Equity
932,WU UN Equity,TFX UN Equity,VSCO UN Equity
933,CDW UW Equity,9903115D UN Equity,MA UN Equity
934,LOPE UW Equity,PNR UN Equity,BF/B UN Equity
935,PTC UW Equity,VSCO UN Equity,SUI UN Equity
936,WEN UW Equity,MA UN Equity,MDU UN Equity
937,NFG UN Equity,BF/B UN Equity,REG UW Equity
938,2297267D UW Equity,SUI UN Equity,AKAM UW Equity
939,OGE UN Equity,MDU UN Equity,EGP UN Equity
940,PRU UN Equity,REG UW Equity,TRGP UN Equity
941,BA UN Equity,AKAM UW Equity,IBKR UW Equity
942,CPRT UW Equity,EGP UN Equity,AMG UN Equity
943,MRCY UW Equity,TRGP UN Equity,LPX UN Equity
